customer_id,gender,age,married,number_of_dependents,number_of_referrals,tenure_in_months,offer,zip_code,customer_status
2424-WVHPL,Male,79,false,0,0,1,None,90278,Joined
2446-PLQVO,Male,32,false,0,0,1,Offer E,91350,Churned
2465-BLLEU,Male,31,false,0,0,1,Offer E,93906,Joined
2468-SJFLM,Male,37,false,0,0,1,None,95917,Joined
2514-GINMM,Male,60,false,0,0,1,Offer E,92629,Churned
2538-OIMXF,Female,29,false,1,0,1,Offer E,92234,Joined
2542-HYGIQ,Female,58,false,0,0,1,None,94303,Joined
2565-JSLRY,Male,21,false,0,0,1,None,93306,Churned
2576-HXMPA,Female,30,false,0,0,1,None,95519,Joined
2585-KTFRE,Male,61,false,1,0,1,None,92027,Joined
2592-YKDIF,Female,47,false,0,0,1,None,95660,Joined
2607-FBDFF,Male,32,false,0,0,1,None,95379,Joined
2609-IAICY,Female,32,false,0,0,1,None,93643,Churned
2619-WFQWU,Female,34,false,0,0,1,None,92692,Churned
2636-ALXXZ,Female,68,false,0,0,1,Offer E,96148,Churned
2654-VBVPB,Female,22,false,0,0,1,None,92663,Joined
2668-TZSPS,Male,32,false,0,0,1,None,95403,Joined
2672-DZUOY,Male,46,false,0,0,1,Offer E,93206,Churned
2672-OJQZP,Female,35,false,0,0,1,None,95203,Joined
2676-ISHSF,Male,22,false,0,0,1,None,96007,Joined
2692-PFYTJ,Female,23,false,0,0,1,None,94547,Joined
2700-LUEVA,Male,49,false,0,0,1,None,94618,Joined
2712-SYWAY,Female,30,false,0,0,1,Offer E,93432,Joined
2725-KXXWT,Male,26,true,0,0,1,Offer E,94589,Churned
2740-TVLFN,Male,42,false,0,0,1,Offer E,95337,Joined
2777-PHDEI,Female,20,false,0,0,1,None,93601,Churned
2792-LSHWX,Female,49,false,0,0,1,None,94555,Joined
2812-SFXMJ,Male,46,false,3,0,1,None,96040,Joined
2833-SLKDQ,Male,23,false,0,0,1,None,95420,Churned
2853-CWQFQ,Male,20,false,1,0,1,None,95503,Joined
2856-HYAPG,Female,62,false,0,0,1,Offer E,96076,Churned
2862-PFNIK,Male,47,false,3,0,1,None,94578,Joined
2866-IKBTM,Female,57,false,0,0,1,None,92629,Joined
2867-UIMSS,Male,24,false,0,0,1,None,95385,Churned
2868-MZAGQ,Male,49,false,0,0,1,Offer E,95354,Churned
2876-VBBBL,Female,64,false,0,0,1,Offer E,93664,Churned
2947-DOMLJ,Male,47,false,2,0,1,None,90621,Churned
2955-PSXOE,Female,48,false,0,0,1,None,90290,Churned
2982-IHMFT,Female,75,false,0,0,1,None,92126,Churned
3027-ZTDHO,Male,21,false,0,0,1,Offer E,93721,Churned
3030-ZKIWL,Male,23,false,0,0,1,None,93240,Joined
3049-NDXFL,Female,30,false,0,0,1,Offer E,92130,Churned
3063-QFSZL,Female,37,false,0,0,1,Offer E,95135,Churned
3066-RRJIO,Female,29,false,0,0,1,Offer E,94132,Churned
3068-OMWZA,Male,77,false,0,0,1,None,96084,Churned
3069-SSVSN,Female,50,false,0,0,1,None,95324,Joined
3085-QUOZK,Female,55,false,0,0,1,Offer E,91901,Churned
3090-QFUVD,Female,48,false,0,0,1,None,93654,Joined
3091-FYHKI,Male,64,false,0,0,1,Offer E,90710,Churned
3148-BLQJT,Male,33,false,0,0,1,Offer E,92028,Churned
3177-LASXD,Female,43,false,0,0,1,None,92281,Churned
3178-FESZO,Female,45,false,0,0,1,Offer E,95227,Churned
3186-BAXNB,Female,20,false,0,0,1,Offer E,96022,Churned
3244-DCJWY,Female,27,false,0,0,1,Offer E,93312,Churned
3247-MHJKM,Male,27,false,0,0,1,None,91784,Joined
3276-HDUEG,Female,23,false,0,0,1,Offer E,92592,Churned
3308-MHOOC,Male,37,false,3,0,1,None,95565,Joined
3334-CTHOL,Female,51,false,0,0,1,None,95642,Churned
3413-BMNZE,Male,71,false,0,0,1,Offer E,90037,Joined
3428-XZMAZ,Male,64,false,0,0,1,None,95382,Churned
3439-GVUSX,Male,45,false,0,0,1,None,96054,Joined
3494-JCHRQ,Male,38,false,0,0,1,None,91411,Churned
3551-HUAZH,Male,68,false,0,0,1,Offer E,95919,Churned
3566-HJGPK,Male,50,false,0,0,1,Offer E,91367,Joined
3577-AMVUX,Male,59,false,0,0,1,None,92314,Joined
3583-EKAPL,Male,25,false,0,0,1,None,92373,Churned
3590-TCXTB,Male,50,false,0,0,1,None,90703,Joined
3627-FHKBK,Female,28,false,0,0,1,None,92806,Churned
3645-DEYGF,Male,29,false,1,0,1,None,91325,Joined
3658-KIBGF,Female,19,false,0,0,1,None,90068,Churned
3669-OYSJI,Male,47,false,0,0,1,Offer E,91326,Churned
3707-GNWHM,Male,28,false,0,0,1,None,93924,Churned
3716-BDVDB,Male,62,false,0,0,1,Offer E,92130,Churned
3716-UVSPD,Male,54,false,0,0,1,None,92675,Joined
3717-OFRTN,Male,48,false,0,0,1,Offer E,94568,Joined
3722-WPXTK,Male,23,false,0,0,1,None,93512,Churned
3727-JEZTU,Female,29,false,0,0,1,None,93312,Joined
3751-KTZEL,Female,62,false,0,0,1,Offer E,95494,Churned
3765-JXVKY,Female,23,false,0,0,1,Offer E,96075,Churned
3776-EKTKM,Female,79,false,0,0,1,None,91501,Churned
3785-NRHYR,Male,40,false,0,0,1,None,93517,Joined
3871-IKPYH,Male,70,false,0,0,1,None,93010,Churned
3877-JRJIP,Male,50,false,0,0,1,None,90250,Churned
3878-AVSOQ,Female,68,false,0,0,1,None,92037,Joined
3891-PUQOD,Female,40,false,3,0,1,None,90063,Churned
3900-AQPHZ,Female,45,false,0,0,1,None,93553,Churned
3926-CUQZX,Male,27,false,0,0,1,Offer E,91906,Churned
3930-ZGWVE,Male,45,false,0,0,1,None,90680,Joined
3946-MHCZW,Male,50,false,0,0,1,Offer E,91761,Churned
3961-SXAXY,Male,49,false,0,0,1,Offer E,91362,Joined
3976-NLDEZ,Male,55,false,0,0,1,Offer E,91752,Joined
3988-RQIXO,Female,68,false,0,0,1,None,92625,Churned
4013-GUXND,Male,37,false,0,0,1,Offer E,93534,Joined
4065-JJAVA,Female,56,false,0,0,1,None,94605,Joined
4074-SJFFA,Female,44,false,0,0,1,None,94122,Churned
4110-PFEUZ,Female,54,false,0,0,1,Offer E,92327,Churned
4146-SVFUD,Male,45,false,0,0,1,None,95351,Joined
4193-ORFCL,Female,80,false,0,0,1,Offer E,91606,Churned
4195-NZGTA,Female,40,false,0,0,1,None,91354,Joined
4201-JMNGR,Female,66,false,0,0,1,Offer E,92356,Churned
4211-MMAZN,Male,41,false,0,0,1,Offer E,95688,Churned
4232-JGKIY,Male,22,false,0,0,1,None,90011,Joined
4237-RLAQD,Male,58,false,0,0,1,Offer E,96014,Churned
4255-DDUOU,Female,47,true,3,0,1,None,93429,Churned
4273-MBHYA,Female,38,false,1,0,1,None,92241,Joined
4274-OWWYO,Male,56,false,0,0,1,None,95690,Churned
4291-HPAXL,Male,63,false,2,0,1,None,95632,Joined
4317-VTEOA,Male,61,false,0,0,1,Offer E,91748,Churned
4349-GFQHK,Male,30,false,0,0,1,Offer E,92359,Churned
4351-QLCSU,Female,47,false,0,0,1,None,95971,Churned
4361-JEIVL,Male,29,false,3,0,1,Offer E,93927,Churned
4367-NHWMM,Female,37,false,0,0,1,None,94925,Joined
4373-VVHQL,Male,37,false,0,0,1,Offer E,93420,Joined
4415-IJZTP,Female,33,false,0,0,1,None,90027,Churned
4501-EQDRN,Female,64,false,0,0,1,None,91763,Churned
4510-HIMLV,Male,50,false,0,0,1,None,90631,Churned
4550-EVXNY,Female,52,false,0,0,1,Offer E,94115,Churned
4588-YBNIB,Female,24,false,0,0,1,Offer E,94539,Churned
4603-JANFB,Male,51,false,0,0,1,Offer E,95232,Churned
4614-NUVZD,Female,53,false,0,0,1,None,92807,Churned
4634-JLRJT,Female,30,false,0,0,1,Offer E,91764,Joined
4661-NJEUX,Male,42,false,0,0,1,None,94028,Joined
4667-OHGKG,Male,61,false,0,0,1,None,93067,Churned
4678-DVQEO,Female,41,false,0,0,1,None,93604,Churned
4702-IOQDC,Female,58,false,0,0,1,Offer E,95322,Churned
4706-DGAHW,Male,73,false,0,0,1,Offer E,93207,Joined
4727-MCYZG,Male,23,false,0,0,1,Offer E,94587,Joined
4729-XKASR,Male,56,false,3,0,1,None,95123,Churned
4745-LSPLO,Male,22,false,0,0,1,None,92111,Churned
4749-VFKVB,Female,47,false,0,0,1,None,94937,Churned
4759-TRPLW,Male,40,false,0,0,1,Offer E,90822,Churned
4786-UKSNZ,Male,45,false,0,0,1,Offer E,94517,Churned
4797-AXPXK,Female,64,false,2,0,1,Offer E,93436,Churned
4800-VHZKI,Female,59,false,0,0,1,Offer E,92122,Churned
4826-XTSOH,Male,66,true,0,0,1,None,95039,Churned
4844-JJWUY,Female,65,false,0,0,1,Offer E,94121,Churned
4847-QNOKA,Female,30,false,0,0,1,Offer E,95355,Churned
4855-SNKMY,Female,31,false,0,0,1,Offer E,90024,Churned
4871-JTKJF,Female,70,false,0,0,1,None,93662,Churned
4877-EVATK,Male,30,false,0,0,1,None,95432,Churned
4892-VLANZ,Male,40,false,0,0,1,None,95932,Churned
4897-QSUYC,Female,42,false,0,0,1,Offer E,92304,Churned
4910-GMJOT,Female,56,false,0,0,1,None,94129,Churned
4912-PIGUY,Female,44,false,0,0,1,Offer E,92571,Joined
4929-BSTRX,Female,61,false,0,0,1,None,93030,Churned
4988-IQIGL,Male,80,false,0,0,1,None,91304,Churned
5028-HTLJB,Male,69,false,0,0,1,Offer E,93254,Churned
5032-MIYKT,Female,19,false,0,0,1,None,95571,Joined
5043-TRZWM,Female,32,false,0,0,1,None,90022,Joined
5047-LHVLY,Male,68,false,0,0,1,Offer E,92121,Churned
5049-GLYVG,Male,56,false,0,0,1,Offer E,93603,Churned
5054-IEXZT,Male,41,false,0,0,1,None,92117,Churned
5077-DXTCG,Female,37,false,0,0,1,None,95925,Churned
5088-QZLRL,Male,50,false,0,0,1,Offer E,92881,Joined
5103-MHMHY,Female,49,false,1,0,1,Offer E,93402,Churned
5133-POWUA,Male,34,false,0,0,1,None,95684,Joined
5143-WMWOG,Male,62,false,0,0,1,None,93266,Churned
5167-ZFFMM,Male,64,false,0,0,1,Offer E,92122,Churned
5186-SAMNZ,Male,75,false,0,0,1,None,93933,Churned
5192-EBGOV,Female,68,false,0,0,1,None,92823,Churned
5196-SGOAK,Female,39,false,0,0,1,Offer E,93518,Churned
5240-IJOQT,Male,69,false,0,0,1,None,95949,Churned
5275-SQEIZ,Male,64,false,0,0,1,None,93023,Churned
5351-QESIO,Male,64,false,2,0,1,Offer E,92122,Joined
5356-RHIPP,Male,38,false,0,0,1,Offer E,93618,Churned
5376-DEQCP,Female,48,false,0,0,1,None,92126,Churned
5378-IKEEG,Female,47,false,0,0,1,Offer E,96110,Churned
5393-RXQSZ,Male,40,false,0,0,1,None,93268,Churned
5419-JPRRN,Male,32,false,0,0,1,None,95975,Churned
5494-HECPR,Female,34,false,0,0,1,Offer E,95346,Churned
5501-TVMGM,Male,21,false,0,0,1,None,96015,Joined
5510-BOIUJ,Male,35,false,7,0,1,None,93277,Churned
5522-JBWMO,Male,62,false,2,0,1,None,92225,Joined
5539-TMZLF,Male,69,false,0,0,1,None,94520,Churned
5542-TBBWB,Male,46,false,0,0,1,None,95453,Joined
5550-VFRLC,Female,70,false,0,0,1,None,93021,Churned
5552-ZNFSJ,Male,49,false,0,0,1,None,95407,Churned
5564-NEMQO,Female,80,false,0,0,1,Offer E,92274,Churned
5597-GLBUC,Female,48,false,0,0,1,Offer E,93675,Churned
5624-BQSSA,Female,19,false,0,0,1,None,95065,Churned
5673-FSSMF,Female,19,false,0,0,1,Offer E,95315,Churned
5692-FPTAH,Female,32,false,0,0,1,None,95659,Churned
5696-QURRL,Male,31,false,0,0,1,None,95386,Churned
5701-SVCWR,Female,45,false,1,0,1,Offer E,92677,Joined
5766-ZJYBB,Male,52,false,0,0,1,None,94005,Churned
5797-APWZC,Female,41,false,0,0,1,Offer E,94105,Churned
5834-ASPWA,Male,55,false,0,0,1,None,92117,Churned
5858-EAFCZ,Male,45,false,0,0,1,None,92377,Joined
5868-CZJDR,Male,41,false,0,0,1,Offer E,95236,Churned
5868-YTYKS,Male,21,false,2,0,1,Offer E,95017,Joined
5875-YPQFJ,Male,51,false,0,0,1,Offer E,94555,Churned
5884-GCYMI,Male,62,false,0,0,1,Offer E,92130,Churned
5906-BFOZT,Male,54,false,0,0,1,None,95551,Joined
5909-ECHUI,Female,49,false,0,0,1,None,96069,Churned
5919-TMRGD,Female,32,false,3,0,1,None,90255,Churned
5940-AHUHD,Male,30,false,0,0,1,Offer E,91768,Churned
5960-WPXQM,Male,24,false,0,0,1,None,92592,Churned
5996-DAOQL,Male,28,false,0,0,1,Offer E,94951,Joined
5999-LCXAO,Female,42,false,0,0,1,None,92866,Joined
6032-IGALN,Female,35,false,0,0,1,None,95746,Churned
6086-ESGRL,Female,53,false,0,0,1,Offer E,92821,Churned
6121-VZNQB,Female,35,false,0,0,1,None,94924,Churned
6124-ACRHJ,Female,59,false,0,0,1,None,94403,Joined
6127-IYJOZ,Male,71,false,0,0,1,None,91604,Joined
6128-CZOMY,Female,43,false,0,0,1,None,91901,Churned
6140-QNRQQ,Male,42,false,0,0,1,Offer E,93103,Churned
6141-OOXUQ,Male,43,false,0,0,1,Offer E,92411,Churned
6142-VSJQO,Female,27,true,3,0,1,None,92548,Churned
6145-NNPNO,Female,45,false,0,0,1,Offer E,95404,Joined
6158-HDPXZ,Male,31,false,0,0,1,None,92128,Joined
6185-TASNN,Male,71,false,0,0,1,Offer E,91913,Joined
6230-BSUXY,Female,71,false,0,0,1,None,90723,Churned
6260-ONULR,Male,55,false,0,0,1,None,95461,Joined
6286-SUUWT,Male,44,false,0,0,1,Offer E,95223,Joined
6317-YPKDH,Female,54,false,0,0,1,Offer E,91202,Churned
6356-ELRKD,Female,29,false,0,0,1,None,92270,Churned
6358-LYNGM,Male,26,false,0,0,1,Offer E,95338,Churned
6366-ZGQGL,Male,60,false,0,0,1,Offer E,91766,Churned
6380-ARCEH,Male,19,false,0,0,1,Offer E,90304,Joined
6390-DSAZX,Female,21,false,0,0,1,None,92122,Churned
6457-GIRWB,Male,57,false,0,0,1,None,92008,Churned
6457-USBER,Male,34,false,0,0,1,None,92121,Churned
6502-MJQAE,Male,27,false,0,0,1,None,92027,Churned
6513-EECDB,Male,75,true,0,0,1,None,94114,Churned
6521-YYTYI,Male,59,false,0,0,1,Offer E,95463,Churned
6567-HOOPW,Female,69,false,0,0,1,None,95630,Churned
6569-KTMDU,Female,28,false,0,0,1,None,95826,Joined
6579-JPICP,Male,31,false,0,0,1,None,92505,Joined
6582-OIVSP,Female,25,false,0,0,1,None,91203,Joined
6595-COKXZ,Female,63,false,0,0,1,Offer E,95669,Churned
6608-QQLVK,Male,35,false,0,0,1,None,95914,Churned
6615-ZGEDR,Male,42,false,0,0,1,None,95567,Churned
6618-RYATB,Female,56,false,0,0,1,Offer E,91605,Churned
6629-CZTTH,Male,62,false,0,0,1,None,92865,Churned
6650-VJONK,Male,54,false,0,0,1,None,90746,Joined
6653-CBBOM,Female,57,false,0,0,1,Offer E,90221,Churned
6654-QGBZZ,Female,21,false,0,0,1,None,95959,Joined
6656-JWRQX,Female,60,false,0,0,1,None,92124,Joined
6689-KXGBO,Female,36,false,0,0,1,None,93401,Churned
6702-OHFWR,Male,75,false,0,0,1,Offer E,91335,Churned
6728-WYQBC,Male,52,false,0,0,1,Offer E,92027,Joined
6772-KSATR,Male,31,false,0,0,1,Offer E,96110,Churned
6849-WLEYG,Male,43,false,3,0,1,None,94608,Churned
6857-VWJDT,Female,45,false,0,0,1,Offer E,95060,Churned
6876-ADESB,Male,22,false,2,0,1,None,96027,Churned
6888-SBYAI,Male,56,false,0,0,1,Offer E,94583,Joined
6894-LFHLY,Male,79,false,0,0,1,None,92027,Churned
6905-NIQIN,Male,26,false,0,0,1,Offer E,92122,Churned
6907-FLBER,Male,62,false,0,0,1,Offer E,91505,Joined
6910-HADCM,Female,63,false,0,0,1,None,90808,Churned
6917-IAYHD,Male,44,false,1,0,1,Offer E,94020,Joined
6959-UWKHF,Male,47,false,0,0,1,Offer E,93201,Churned
6960-HVYXR,Female,20,false,0,0,1,None,95673,Churned
6982-SSHFK,Male,45,false,0,0,1,Offer E,93703,Churned
6996-KNSML,Female,26,false,0,0,1,None,94931,Churned
7054-LGEQW,Female,23,false,0,0,1,Offer E,91351,Churned
7065-YUNRY,Female,28,false,0,0,1,None,92117,Churned
7096-UCLNH,Male,30,false,0,0,1,None,92335,Joined
7120-RFMVS,Male,31,false,0,0,1,None,95641,Churned
7153-OANIO,Male,48,false,0,0,1,Offer E,95460,Churned
7180-PISOG,Male,41,true,0,0,1,None,93040,Churned
7206-GZCDC,Female,75,false,0,0,1,Offer E,95551,Churned
7239-HZZCX,Male,21,false,0,0,1,None,93535,Churned
7242-QZLXF,Male,20,false,3,0,1,None,92121,Churned
7243-LCGGZ,Female,28,false,0,0,1,None,91801,Joined
7246-ZGQDF,Female,63,false,3,0,1,None,92394,Joined
7252-NTGSS,Female,43,false,0,0,1,None,90277,Joined
7254-IQWOZ,Male,30,false,0,0,1,Offer E,96001,Churned
7274-RTAPZ,Male,20,false,0,0,1,Offer E,90804,Churned
7291-CDTMJ,Male,40,false,0,0,1,Offer E,92651,Joined
7294-TMAOP,Female,30,false,0,0,1,Offer E,94546,Churned
7298-IZWLY,Female,43,false,0,0,1,None,90249,Joined
7302-ZHMHP,Female,35,false,0,0,1,None,92118,Joined
7310-EGVHZ,Male,35,false,0,0,1,Offer E,90036,Joined
7312-XSBAT,Male,47,false,0,0,1,Offer E,93305,Joined
7359-PTSXY,Male,36,false,0,0,1,None,92780,Churned
7365-BVCJH,Male,40,false,0,0,1,Offer E,96091,Joined
7409-KIUTL,Female,80,false,0,0,1,None,92027,Churned
7434-SHXLS,Female,21,false,0,0,1,Offer E,95254,Churned
7439-DKZTW,Male,49,false,0,0,1,None,95043,Joined
7442-YGZFK,Male,31,false,0,0,1,None,91906,Joined
7465-ZZRVX,Male,63,false,0,0,1,None,95307,Joined
7493-TPUWZ,Male,64,false,0,0,1,None,95619,Churned
7503-ZGUZJ,Male,25,false,0,0,1,None,92505,Churned
7537-RBWEA,Female,19,false,0,0,1,None,95558,Joined
7551-JOHTI,Female,54,false,0,0,1,None,90265,Churned
7568-PODML,Male,34,false,0,0,1,None,95076,Churned
7577-SWIFR,Male,49,false,0,0,1,None,91206,Joined
7590-VHVEG,Female,36,true,0,0,1,Offer E,90001,Joined
7593-XFKDI,Male,39,false,0,0,1,None,90031,Churned
7594-RQHXR,Female,20,false,0,0,1,Offer E,91722,Churned
7595-EUIVN,Female,53,false,0,0,1,None,95422,Churned
7601-WFVZV,Male,35,false,0,0,1,Offer E,95936,Joined
7617-EYGLW,Male,62,false,0,0,1,Offer E,95423,Joined
7623-TRNQN,Male,34,false,1,0,1,None,95642,Churned
7660-HDPJV,Female,51,false,0,0,1,None,90810,Churned
7663-RGWBC,Male,44,false,0,0,1,None,90049,Churned
7665-TOALD,Female,25,false,0,0,1,None,92592,Churned
7698-YFGEZ,Male,55,false,0,0,1,Offer E,92509,Joined
7721-DVEKZ,Female,42,false,0,0,1,Offer E,91360,Joined
7754-IXRMC,Female,39,false,0,0,1,None,93422,Joined
7767-UXAGJ,Male,37,false,0,0,1,None,95713,Churned
7794-JASDG,Male,37,false,0,0,1,Offer E,92596,Joined
7825-GKXMW,Female,41,false,0,0,1,Offer E,92121,Churned
7839-QRKXN,Female,62,false,0,0,1,Offer E,91203,Churned
7851-FLGGQ,Male,49,false,0,0,1,Offer E,95692,Churned
7853-WNZSY,Male,58,false,0,0,1,Offer E,95317,Joined
7854-FOKSF,Male,54,false,0,0,1,Offer E,93560,Churned
7878-RTCZG,Female,55,false,0,0,1,None,90302,Joined
7893-IXHRQ,Male,53,false,0,0,1,None,95826,Churned
7926-IJOOU,Male,50,false,0,0,1,Offer E,94116,Joined
7989-CHGTL,Male,52,false,0,0,1,Offer E,92122,Churned
8000-REIQB,Female,73,false,0,0,1,Offer E,92117,Churned
