customer_id,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue
1218-VKFPE,Month-to-Month,FALSE,Credit Card,19,233.55,0,0,233.76,467.31
1423-BMPBQ,Month-to-Month,TRUE,Credit Card,19,19,0,0,28.28,47.28
2023-VQFDL,Month-to-Month,FALSE,Bank Withdrawal,19,348.8,0,0,596.88,945.68
5222-JCXZT,Month-to-Month,FALSE,Mailed Check,19,78.9,0,0,80.64,159.54
7234-KMNRQ,Month-to-Month,FALSE,Credit Card,19,73.45,0,0,33.52,106.97
1015-OWJKI,Month-to-Month,FALSE,Credit Card,19.05,19.05,0,0,5.02,24.07
1431-CYWMH,Month-to-Month,FALSE,Bank Withdrawal,19.05,454.05,0,0,1021.9,1475.95
1991-VOPLL,Month-to-Month,FALSE,Credit Card,19.05,157.65,0,0,281.52,439.17
9467-ROOLM,Month-to-Month,FALSE,Mailed Check,19.05,461.3,0,0,757,1218.3
6121-VZNQB,Month-to-Month,TRUE,Credit Card,19.1,19.1,0,0,34.79,53.89
6569-KTMDU,Month-to-Month,FALSE,Mailed Check,19.1,19.1,0,0,5.02,24.12
9039-ZVJDC,Month-to-Month,TRUE,Credit Card,19.1,53.05,0,0,48.96,102.01
9441-QHEVC,Month-to-Month,FALSE,Credit Card,19.1,19.1,0,0,44.22,63.32
0487-VVUVK,Month-to-Month,TRUE,Credit Card,19.15,477.6,0,0,477.25,954.85
7302-ZHMHP,Month-to-Month,FALSE,Credit Card,19.15,19.15,0,0,22.37,41.52
9046-JBFWA,Month-to-Month,FALSE,Credit Card,19.15,537.35,0,0,819.72,1357.07
1663-MHLHE,Month-to-Month,FALSE,Credit Card,19.2,19.2,0,0,35.88,55.08
3308-MHOOC,Month-to-Month,TRUE,Credit Card,19.2,19.2,0,0,17.89,37.09
3373-YZZYM,Month-to-Month,FALSE,Credit Card,19.2,19.2,0,0,32.78,51.98
4232-JGKIY,Month-to-Month,FALSE,Bank Withdrawal,19.2,19.2,0,0,26.37,45.57
6979-TNDEU,Month-to-Month,FALSE,Credit Card,19.2,156.85,0,0,114.56,271.41
7168-HDQHG,Month-to-Month,FALSE,Bank Withdrawal,19.2,702.9,0,0,740.52,1443.42
8780-RSYYU,Month-to-Month,TRUE,Credit Card,19.2,532.1,0,0,150,682.1
9837-FWLCH,Month-to-Month,TRUE,Bank Withdrawal,19.2,239,45.46,0,303.96,497.5
0303-WMMRN,Month-to-Month,TRUE,Credit Card,19.25,86.05,0,0,105.05,191.1
1098-TDVUQ,Month-to-Month,TRUE,Bank Withdrawal,19.25,19.25,0,0,9.44,28.69
3156-QLHBO,Month-to-Month,FALSE,Credit Card,19.25,48.35,0,0,42.36,90.71
4541-RMRLG,Month-to-Month,FALSE,Bank Withdrawal,19.25,112.3,0,0,63.98,176.28
4946-EDSEW,Month-to-Month,TRUE,Credit Card,19.25,180.3,0,0,319.11,499.41
5186-PEIZU,Month-to-Month,FALSE,Bank Withdrawal,19.25,617.65,0,0,1323.35,1941
5510-BOIUJ,Month-to-Month,FALSE,Credit Card,19.25,19.25,0,0,12.81,32.06
5537-UXXVS,Month-to-Month,FALSE,Bank Withdrawal,19.25,375.25,0,0,960.6,1335.85
6082-GLJIX,Month-to-Month,FALSE,Credit Card,19.25,331.35,0,0,563.94,895.29
9374-YOLBJ,Month-to-Month,FALSE,Bank Withdrawal,19.25,19.25,0,0,25.1,44.35
0396-HUJBP,Month-to-Month,FALSE,Credit Card,19.3,44.4,0,0,99.82,144.22
0761-AETCS,Month-to-Month,FALSE,Bank Withdrawal,19.3,19.3,0,0,25.62,44.92
1724-IQWNM,Month-to-Month,TRUE,Credit Card,19.3,19.3,0,0,8.66,27.96
2320-YKQBO,Month-to-Month,FALSE,Credit Card,19.3,144.95,0,0,51.24,196.19
4667-OHGKG,Month-to-Month,TRUE,Credit Card,19.3,19.3,0,0,49.2,68.5
6112-KTHFQ,Month-to-Month,TRUE,Credit Card,19.3,279.3,0,0,277.68,556.98
7785-RDVIG,Month-to-Month,FALSE,Credit Card,19.3,54.7,0,0,30.39,85.09
7926-IJOOU,Month-to-Month,FALSE,Credit Card,19.3,19.3,0,0,16.36,35.66
0366-NQSHS,Month-to-Month,FALSE,Credit Card,19.35,46.35,0,0,88.68,135.03
1735-XMJVH,Month-to-Month,TRUE,Mailed Check,19.35,152.6,0,0,278.96,431.56
2096-XOTMO,Month-to-Month,FALSE,Credit Card,19.35,275.9,33.24,0,205.12,447.78
4903-UYAVB,Month-to-Month,FALSE,Mailed Check,19.35,126.05,0,0,158.8,284.85
5917-HBSDW,Month-to-Month,FALSE,Bank Withdrawal,19.35,683.75,0,0,99.16,782.91
9142-XMYJH,Month-to-Month,FALSE,Credit Card,19.35,601.6,0,0,80.04,681.64
0098-BOWSO,Month-to-Month,TRUE,Bank Withdrawal,19.4,529.8,0,0,557.82,1087.62
0208-BPQEJ,Month-to-Month,FALSE,Bank Withdrawal,19.4,198.1,0,0,99,297.1
2220-IAHLS,Month-to-Month,FALSE,Credit Card,19.4,19.4,0,0,2.85,22.25
2223-KAGMX,Month-to-Month,FALSE,Bank Withdrawal,19.4,289.3,0,0,497.1,786.4
2243-FNMMI,Month-to-Month,FALSE,Credit Card,19.4,415.4,0,0,620.4,1035.8
2308-STERM,Month-to-Month,FALSE,Credit Card,19.4,61.05,0,0,13.3,74.35
5616-PRTNT,Month-to-Month,TRUE,Bank Withdrawal,19.4,374.5,0,0,455.6,830.1
6878-GGDWG,Month-to-Month,FALSE,Bank Withdrawal,19.4,641.15,0,0,395.2,1036.35
7298-IZWLY,Month-to-Month,TRUE,Credit Card,19.4,19.4,0,0,23.97,43.37
7956-XQWGU,Month-to-Month,TRUE,Credit Card,19.4,460.25,29.59,0,69.93,500.59
8295-FHIVV,Month-to-Month,TRUE,Credit Card,19.4,168.65,0,0,64.33,232.98
8410-BGQXN,Month-to-Month,FALSE,Credit Card,19.4,93.4,0,0,90.16,183.56
9063-ZGTUY,Month-to-Month,TRUE,Credit Card,19.4,1182.55,0,0,2822.47,4005.02
9101-NTIXF,Month-to-Month,FALSE,Credit Card,19.4,50.6,0,0,30.32,80.92
9629-NHXFW,Month-to-Month,TRUE,Credit Card,19.4,19.4,0,0,48.79,68.19
1257-SXUXQ,Month-to-Month,FALSE,Credit Card,19.45,86.05,0,0,40.2,126.25
1725-MIMXW,Month-to-Month,TRUE,Credit Card,19.45,19.45,0,0,48.96,68.41
2171-UDMFD,Month-to-Month,TRUE,Credit Card,19.45,674.55,0,0,1121.6,1796.15
2882-DDZPG,Month-to-Month,FALSE,Bank Withdrawal,19.45,227.45,0,0,429.72,657.17
3679-XASPY,Month-to-Month,FALSE,Bank Withdrawal,19.45,19.45,0,0,16.44,35.89
3750-RNQKR,Month-to-Month,FALSE,Credit Card,19.45,246.25,0,0,217.44,463.69
4760-XOHVN,Month-to-Month,FALSE,Mailed Check,19.45,19.45,0,0,28.73,48.18
4770-QAZXN,Month-to-Month,FALSE,Credit Card,19.45,232.1,0,0,601.9,834
4801-KFYKL,Month-to-Month,FALSE,Bank Withdrawal,19.45,159.2,0,0,15.6,174.8
7617-EYGLW,Month-to-Month,FALSE,Bank Withdrawal,19.45,19.45,0,0,46.59,66.04
8393-JMVMB,Month-to-Month,FALSE,Credit Card,19.45,19.45,0,0,29.15,48.6
8944-AILEF,Month-to-Month,TRUE,Credit Card,19.45,340.85,0,0,597.6,938.45
9174-FKWZE,Month-to-Month,TRUE,Bank Withdrawal,19.45,19.45,0,0,22.92,42.37
0883-EIBTI,Month-to-Month,FALSE,Mailed Check,19.5,31.55,0,0,56.04,87.59
1051-GEJLJ,Month-to-Month,FALSE,Mailed Check,19.5,27.55,0,0,54.34,81.89
1905-OEILC,Month-to-Month,FALSE,Credit Card,19.5,19.5,0,0,20.11,39.61
2061-VVFST,Month-to-Month,FALSE,Bank Withdrawal,19.5,805.2,0,0,1672.03,2477.23
3318-ISQFQ,Month-to-Month,TRUE,Bank Withdrawal,19.5,413,0,0,219.4,632.4
5624-RYAMH,Month-to-Month,TRUE,Bank Withdrawal,19.5,178.85,0,0,422.46,601.31
5906-BFOZT,Month-to-Month,TRUE,Credit Card,19.5,19.5,0,0,8.02,27.52
7727-SHVZV,Month-to-Month,FALSE,Bank Withdrawal,19.5,150.35,0,0,394.47,544.82
8053-WWDRO,Month-to-Month,FALSE,Bank Withdrawal,19.5,146.3,0,0,190.2,336.5
8566-YPRGL,Month-to-Month,TRUE,Credit Card,19.5,19.5,0,0,33.02,52.52
9391-TTOYH,Month-to-Month,TRUE,Credit Card,19.5,470.2,0,0,321.54,791.74
0927-CNGRH,Month-to-Month,FALSE,Credit Card,19.55,19.55,0,0,30.63,50.18
1029-QFBEN,Month-to-Month,FALSE,Mailed Check,19.55,19.55,0,0,38.44,57.99
1237-WIYYZ,Month-to-Month,TRUE,Credit Card,19.55,389.25,0,0,192.06,581.31
1345-GKDZZ,Month-to-Month,FALSE,Credit Card,19.55,128.6,0,0,105.18,233.78
1622-HSHSF,Month-to-Month,TRUE,Credit Card,19.55,19.55,0,0,10.2,29.75
2484-DGXPZ,Month-to-Month,TRUE,Credit Card,19.55,658.95,0,0,932.17,1591.12
2576-HXMPA,Month-to-Month,FALSE,Credit Card,19.55,19.55,0,0,8.23,27.78
2866-IKBTM,Month-to-Month,FALSE,Credit Card,19.55,19.55,0,0,40.63,60.18
3724-UCSHY,Month-to-Month,FALSE,Credit Card,19.55,122.9,0,0,219.24,342.14
4365-MSDYN,Month-to-Month,TRUE,Bank Withdrawal,19.55,161.15,0,0,178.72,339.87
4693-VWVBO,Month-to-Month,FALSE,Bank Withdrawal,19.55,61.05,0,0,122.94,183.99
6506-EYCNH,Month-to-Month,TRUE,Bank Withdrawal,19.55,543.8,0,0,443.8,987.6
7601-WFVZV,Month-to-Month,FALSE,Credit Card,19.55,19.55,0,0,17.94,37.49
8605-ITULD,Month-to-Month,FALSE,Credit Card,19.55,19.55,0,0,5.1,24.65
1051-EQPZR,Month-to-Month,FALSE,Credit Card,19.6,780.25,0,0,183.48,963.73
1087-UDSIH,Month-to-Month,TRUE,Credit Card,19.6,59.75,0,0,39.84,99.59
4588-YBNIB,Month-to-Month,TRUE,Credit Card,19.6,19.6,0,0,5.36,24.96
4881-GQJTW,Month-to-Month,FALSE,Credit Card,19.6,300.4,0,0,119.56,419.96
5468-BPMMO,Month-to-Month,FALSE,Bank Withdrawal,19.6,851.2,0,0,739.22,1590.42
5702-SKUOB,Month-to-Month,FALSE,Credit Card,19.6,93.45,0,0,116.56,210.01
6036-TTFYU,Month-to-Month,FALSE,Credit Card,19.6,314.45,26.83,0,749.76,1037.38
6040-CGACY,Month-to-Month,FALSE,Credit Card,19.6,299.4,0,0,598.05,897.45
6184-DYUOB,Month-to-Month,TRUE,Credit Card,19.6,55.25,0,0,125.7,180.95
7854-EKTJL,Month-to-Month,TRUE,Bank Withdrawal,19.6,35.85,0,0,59.62,95.47
7989-CHGTL,Month-to-Month,TRUE,Credit Card,19.6,19.6,0,0,14.17,33.77
8457-XIGKN,Month-to-Month,TRUE,Credit Card,19.6,356.15,0,0,582.4,938.55
9313-CDOGY,Month-to-Month,FALSE,Bank Withdrawal,19.6,717.3,0,0,918.08,1635.38
0690-SRQID,Month-to-Month,TRUE,Credit Card,19.65,67.55,0,0,73.12,140.67
0970-QXPXW,Month-to-Month,FALSE,Credit Card,19.65,19.65,0,0,42.42,62.07
1057-FOGLZ,Month-to-Month,FALSE,Credit Card,19.65,391.7,0,0,327.6,719.3
1194-SPVSP,Month-to-Month,FALSE,Bank Withdrawal,19.65,19.65,0,0,27.88,47.53
1465-WCZVT,Month-to-Month,FALSE,Credit Card,19.65,60.65,0,0,91.02,151.67
1577-HKTFG,Month-to-Month,FALSE,Bank Withdrawal,19.65,655.85,0,0,460.8,1116.65
2466-NEJOJ,Month-to-Month,FALSE,Credit Card,19.65,169.75,0,0,209.36,379.11
2640-LYMOV,Month-to-Month,TRUE,Credit Card,19.65,38.8,0,0,19.22,58.02
3694-GLTJM,Month-to-Month,TRUE,Credit Card,19.65,92.05,0,0,209.65,301.7
3785-NRHYR,Month-to-Month,FALSE,Credit Card,19.65,19.65,0,0,16.91,36.56
3845-FXCYS,Month-to-Month,TRUE,Bank Withdrawal,19.65,31.2,0,0,15.6,46.8
4719-UMSIY,Month-to-Month,FALSE,Mailed Check,19.65,100.9,0,0,93,193.9
6141-OOXUQ,Month-to-Month,FALSE,Mailed Check,19.65,19.65,0,0,17.25,36.9
7291-CDTMJ,Month-to-Month,TRUE,Bank Withdrawal,19.65,19.65,0,0,13.85,33.5
7526-IVLYU,Month-to-Month,TRUE,Credit Card,19.65,68.35,0,0,106.77,175.12
7721-DVEKZ,Month-to-Month,FALSE,Credit Card,19.65,19.65,0,0,23.67,43.32
8329-IBCTI,Month-to-Month,FALSE,Mailed Check,19.65,19.65,0,0,6.08,25.73
0247-SLUJI,Month-to-Month,FALSE,Credit Card,19.7,19.7,0,0,34.28,53.98
1563-IWQEX,Month-to-Month,FALSE,Credit Card,19.7,220.35,0,0,224.52,444.87
2332-EFBJY,Month-to-Month,TRUE,Credit Card,19.7,342.4,0,0,91.84,434.24
3077-RSNTJ,Month-to-Month,FALSE,Credit Card,19.7,113.5,0,0,33.12,146.62
3374-PZLXD,Month-to-Month,FALSE,Credit Card,19.7,675.6,0,0,1241.68,1917.28
3824-RHKVR,Month-to-Month,FALSE,Credit Card,19.7,340.35,0,0,378.42,718.77
3981-QSVQI,Month-to-Month,TRUE,Bank Withdrawal,19.7,168.9,0,0,177.2,346.1
5396-IZEPB,Month-to-Month,FALSE,Credit Card,19.7,180.7,0,0,224.01,404.71
6319-QSUSR,Month-to-Month,FALSE,Credit Card,19.7,216.2,0,0,493.68,709.88
6615-ZGEDR,Month-to-Month,FALSE,Mailed Check,19.7,19.7,0,0,1.91,21.61
7623-HKYRK,Month-to-Month,FALSE,Mailed Check,19.7,111.65,0,0,166.68,278.33
9970-QBCDA,Month-to-Month,FALSE,Credit Card,19.7,129.55,0,0,186.12,315.67
0268-QKIWO,Month-to-Month,FALSE,Bank Withdrawal,19.75,58.85,0,0,73.89,132.74
1156-ZFYDO,Month-to-Month,FALSE,Bank Withdrawal,19.75,19.75,0,0,37.62,57.37
2428-ZMCTB,Month-to-Month,FALSE,Credit Card,19.75,208.25,0,0,202.9,411.15
2465-BLLEU,Month-to-Month,TRUE,Credit Card,19.75,19.75,0,0,10.22,29.97
3181-MIZBN,Month-to-Month,FALSE,Bank Withdrawal,19.75,313.4,0,0,511.84,825.24
3717-OFRTN,Month-to-Month,FALSE,Bank Withdrawal,19.75,19.75,0,0,5.32,25.07
3930-ZGWVE,Month-to-Month,FALSE,Credit Card,19.75,19.75,0,0,15.77,35.52
3936-QQFLL,Month-to-Month,FALSE,Credit Card,19.75,39.3,0,0,3.94,43.24
5577-OTWWW,Month-to-Month,FALSE,Bank Withdrawal,19.75,297.3,0,0,597.6,894.9
6124-ACRHJ,Month-to-Month,FALSE,Credit Card,19.75,19.75,0,0,41.28,61.03
6849-WLEYG,Month-to-Month,FALSE,Credit Card,19.75,19.75,0,0,11.91,31.66
7239-HZZCX,Month-to-Month,FALSE,Credit Card,19.75,19.75,0,0,29.33,49.08
7853-WNZSY,Month-to-Month,TRUE,Credit Card,19.75,19.75,0,0,1.61,21.36
8138-EALND,Month-to-Month,FALSE,Credit Card,19.75,311.6,0,0,52.35,363.95
8573-CGOCC,Month-to-Month,FALSE,Credit Card,19.75,294.9,0,0,396.64,691.54
9103-CXVOK,Month-to-Month,FALSE,Bank Withdrawal,19.75,19.75,0,0,30.38,50.13
1449-XQEMT,Month-to-Month,TRUE,Mailed Check,19.8,58.15,0,0,45.36,103.51
4182-BGSIQ,Month-to-Month,TRUE,Bank Withdrawal,19.8,196.75,0,0,190.5,387.25
4892-VLANZ,Month-to-Month,FALSE,Mailed Check,19.8,19.8,0,0,9.66,29.46
5384-ZTTWP,Month-to-Month,FALSE,Mailed Check,19.8,272.95,18.55,0,261.45,515.85
8562-GHPPI,Month-to-Month,FALSE,Credit Card,19.8,19.8,0,0,11.96,31.76
9364-YKUVW,Month-to-Month,TRUE,Mailed Check,19.8,309.4,0,0,241.95,551.35
0030-FNXPP,Month-to-Month,FALSE,Credit Card,19.85,57.2,0,0,9.36,66.56
0107-WESLM,Month-to-Month,TRUE,Bank Withdrawal,19.85,19.85,0,0,31.77,51.62
0137-UDEUO,Month-to-Month,FALSE,Credit Card,19.85,63.75,0,0,77.25,141
0310-VQXAM,Month-to-Month,FALSE,Credit Card,19.85,178.8,0,0,366.66,545.46
0594-UFTUL,Month-to-Month,TRUE,Credit Card,19.85,252,0,0,522.6,774.6
1135-LMECX,Month-to-Month,FALSE,Credit Card,19.85,19.85,0,0,16.47,36.32
1498-DQNRX,Month-to-Month,FALSE,Mailed Check,19.85,573.05,0,0,165.01,738.06
2303-PJYHN,Month-to-Month,FALSE,Bank Withdrawal,19.85,52,0,0,72.1,124.1
3675-YDUPJ,Month-to-Month,TRUE,Credit Card,19.85,193.05,0,0,19.8,212.85
4020-KIUDI,Month-to-Month,FALSE,Credit Card,19.85,138.85,0,0,142.38,281.23
4140-WJAWW,Month-to-Month,FALSE,Credit Card,19.85,108.05,0,0,30.85,138.9
4291-HPAXL,Month-to-Month,FALSE,Credit Card,19.85,19.85,0,0,29.1,48.95
4396-KLSEH,Month-to-Month,TRUE,Bank Withdrawal,19.85,63,0,0,27.52,90.52
6164-HXUGH,Month-to-Month,FALSE,Credit Card,19.85,119.3,0,0,38.88,158.18
6776-TLWOI,Month-to-Month,FALSE,Mailed Check,19.85,64.55,0,0,96.03,160.58
8150-QUDFX,Month-to-Month,FALSE,Credit Card,19.85,51.6,0,0,54.94,106.54
0347-UBKUZ,Month-to-Month,FALSE,Mailed Check,19.9,320.45,0,0,41.1,361.55
2320-JRSDE,Month-to-Month,TRUE,Bank Withdrawal,19.9,19.9,0,0,7.49,27.39
2369-FEVNO,Month-to-Month,TRUE,Credit Card,19.9,19.9,0,0,7.76,27.66
2654-VBVPB,Month-to-Month,FALSE,Bank Withdrawal,19.9,19.9,0,0,11.83,31.73
2832-SCUCO,Month-to-Month,FALSE,Bank Withdrawal,19.9,57.4,0,0,53.8,111.2
3043-SUDUA,Month-to-Month,FALSE,Bank Withdrawal,19.9,601.55,0,0,496.96,1098.51
3061-BCKYI,Month-to-Month,FALSE,Credit Card,19.9,283.75,0,0,609,892.75
3530-VWVGU,Month-to-Month,FALSE,Credit Card,19.9,400.3,0,0,1089.22,1489.52
3900-AQPHZ,Month-to-Month,FALSE,Mailed Check,19.9,19.9,0,0,49.51,69.41
4800-VHZKI,Month-to-Month,TRUE,Credit Card,19.9,19.9,0,0,36.63,56.53
4936-YPJNK,Month-to-Month,TRUE,Credit Card,19.9,199.45,0,0,238.4,437.85
5066-GFJMM,Month-to-Month,TRUE,Credit Card,19.9,45.75,0,0,124.08,169.83
5515-IDEJJ,Month-to-Month,FALSE,Mailed Check,19.9,19.9,0,0,45.77,65.67
6654-QGBZZ,Month-to-Month,FALSE,Credit Card,19.9,19.9,0,0,1.5,21.4
7636-XUHWW,Month-to-Month,TRUE,Credit Card,19.9,33.7,0,0,7.64,41.34
7878-RTCZG,Month-to-Month,FALSE,Credit Card,19.9,19.9,0,0,2.38,22.28
9967-ATRFS,Month-to-Month,FALSE,Credit Card,19.9,367.55,0,0,608.57,976.12
0114-RSRRW,Month-to-Month,TRUE,Bank Withdrawal,19.95,187.75,0,0,496,683.75
0178-CIIKR,Month-to-Month,FALSE,Credit Card,19.95,58,0,0,8.07,66.07
1796-JANOW,Month-to-Month,FALSE,Credit Card,19.95,38.15,0,0,69.14,107.29
2542-HYGIQ,Month-to-Month,FALSE,Credit Card,19.95,19.95,0,0,38.84,58.79
3097-PYWXL,Month-to-Month,TRUE,Bank Withdrawal,19.95,82.9,0,0,114.2,197.1
3190-FZATL,Month-to-Month,FALSE,Credit Card,19.95,268.4,0,0,569.24,837.64
3363-EWLGO,Month-to-Month,FALSE,Credit Card,19.95,109.6,0,0,174,283.6
3506-LCJDC,Month-to-Month,FALSE,Bank Withdrawal,19.95,19.95,0,0,8.03,27.98
3623-FQBOX,Month-to-Month,TRUE,Credit Card,19.95,416.4,0,0,924.21,1340.61
4694-PHWFW,Month-to-Month,FALSE,Mailed Check,19.95,170.9,0,0,366.96,537.86
